movie,year,timeMin,imdb,metascore,votes,us_grossMillions
Tenet,2020,150,7.9,69,99338,0
Mulan,1998,88,7.6,71,247528,120.62
Knives Out,2019,130,7.9,82,385516,165.36
Joker,2019,122,8.5,59,863197,335.45
Inception,2010,148,8.8,74,2008986,292.58
Interstellar,2014,169,8.6,74,1455121,188.02
Parasite,2019,132,8.6,96,477475,53.37
Avengers: Endgame,2019,181,8.4,78,759921,858.37
Once Upon a Time... In Hollywood,2019,161,7.6,83,511042,142.5
Hamilton,2020,160,8.7,90,39528,0
Zodiac,2007,157,7.7,78,446118,33.08
Jojo Rabbit,2019,108,7.9,58,257982,0.35
The Dark Knight,2008,152,9,84,2247261,534.86
Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,626638,317.58
The Peanut Butter Falcon,2019,97,7.6,70,54003,13.12
Blade Runner 2049,2017,164,8,81,442504,92.05
The Gentlemen,2019,113,7.9,51,182215,0
Ford v Ferrari,2019,152,8.1,81,256051,117.62
The Wolf of Wall Street,2013,180,8.2,75,1144470,116.9
The Godfather,1972,175,9.2,100,1575886,134.97
The Shawshank Redemption,1994,142,9.3,80,2283219,28.34
The Princess Bride,1987,98,8.1,77,385947,30.86
Pride & Prejudice,2005,129,7.8,82,248906,38.41
Casino Royale,2006,144,8,80,571288,167.45
Back to the Future,1985,116,8.5,87,1029738,210.61
1917,2019,119,8.3,78,367395,159.23
Room,2015,118,8.1,86,358613,14.68
The Silence of the Lambs,1991,118,8.6,85,1236850,130.74
The Dark Knight Rises,2012,164,8.4,78,1483740,448.14
Dunkirk,2017,106,7.9,94,534205,188.37
The Prestige,2006,130,8.5,66,1158773,53.09
Little Women,2019,135,7.8,91,123967,108.1
The Green Mile,1999,189,8.6,61,1115175,136.8
Pulp Fiction,1994,154,8.9,94,1783519,107.93
Memento,2000,113,8.4,80,1101504,25.54
Inglourious Basterds,2009,153,8.3,69,1232498,120.54
Titanic,1997,194,7.8,75,1024680,659.33
The Matrix,1999,136,8.7,73,1635452,171.48
Jurassic Park,1993,127,8.1,68,847786,402.45
The Goonies,1985,114,7.8,62,238126,61.5
Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,891757,34.4
Prisoners,2013,153,8.1,70,582751,61
Batman Begins,2005,140,8.2,70,1280887,206.85
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1622531,315.54
One Flew Over the Cuckoo's Nest,1975,133,8.7,83,892685,112
Avengers: Infinity War,2018,149,8.4,68,799415,678.82
The Shining,1980,146,8.4,66,871508,44.02
Watchmen,2009,162,7.6,56,492033,107.51
Skyfall,2012,143,7.7,81,621140,304.36
Deadpool,2016,108,8,65,883601,363.07
Moana,2016,107,7.6,81,261821,248.76
Django Unchained,2012,165,8.4,81,1320674,162.81
A Star Is Born,2018,136,7.7,88,319955,215.29
Mad Max: Fury Road,2015,120,8.1,90,858353,154.06
Thor: Ragnarok,2017,130,7.9,74,566114,315.06
Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85,744802,381.01
Forrest Gump,1994,142,8.8,82,1759124,330.25
Harry Potter and the Goblet of Fire,2005,157,7.7,81,531594,290.01
Fight Club,1999,139,8.8,66,1810788,37.03
Call Me by Your Name,2017,132,7.9,93,200263,18.1
No Country for Old Men,2007,122,8.1,91,833594,74.28
The Irishman,2019,209,7.9,94,306053,7
Se7en,1995,127,8.6,65,1405142,100.13
Guardians of the Galaxy,2014,121,8,76,1024762,333.18
The Usual Suspects,1995,106,8.5,77,970608,23.34
"Synecdoche, New York",2008,124,7.6,67,80348,3.08
Gone Girl,2014,149,8.1,79,835394,167.77
Good Will Hunting,1997,126,8.3,70,839185,138.43
American Psycho,2000,101,7.6,64,474760,15.07
The Departed,2006,151,8.5,85,1161814,132.38
Gladiator,2000,155,8.5,67,1310538,187.71
Schindler's List,1993,195,8.9,94,1185538,96.9
Kingsman: The Secret Service,2014,129,7.7,60,580296,128.26
Spider-Man: Into the Spider-Verse,2018,117,8.4,87,337946,190.24
Deadpool 2,2018,119,7.7,66,462035,324.59
Mission: Impossible - Fallout,2018,147,7.7,86,281848,220.16
Arrival,2016,116,7.9,81,577254,100.55
The Theory of Everything,2014,123,7.7,72,392196,35.89
Goodfellas,1990,146,8.7,90,993581,46.84
The Notebook,2004,123,7.8,53,509235,81
American Beauty,1999,122,8.3,84,1050573,130.1
Alien,1979,117,8.4,89,770339,78.9
Sicario,2015,121,7.6,82,361610,46.89
Being John Malkovich,1999,113,7.7,90,306022,22.86
Glory,1989,122,7.8,78,119361,26.83
Get Out,2017,104,7.7,85,473927,176.04
Léon: The Professional,1994,110,8.5,64,1009546,19.5
Blade Runner,1982,117,8.1,84,679315,32.87
Requiem for a Dream,2000,102,8.3,68,749782,3.64
Willy Wonka & the Chocolate Factory,1971,100,7.8,67,174374,4
Psycho,1960,109,8.5,97,588217,32
Shutter Island,2010,138,8.2,63,1098602,128.01
Atonement,2007,123,7.8,85,244476,50.93
Apocalypse Now,1979,147,8.4,94,592375,83.47
Back to the Future Part II,1989,108,7.8,57,468950,118.5
Saving Private Ryan,1998,169,8.6,91,1206280,216.54
The Avengers,2012,143,8,69,1242612,623.28
The Curious Case of Benjamin Button,2008,166,7.8,70,576584,127.51
Guardians of the Galaxy Vol. 2,2017,136,7.6,67,551628,389.81
Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82,534327,249.36
Bohemian Rhapsody,2018,134,8,49,434696,216.43
Portrait of a Lady on Fire,2019,122,8.1,95,51051,0
The Big Lebowski,1998,117,8.1,71,715475,17.5
Zootopia,2016,108,8,78,422106,341.27
The Lord of the Rings: The Return of the King,2003,201,8.9,94,1606869,377.85
Taxi Driver,1976,114,8.3,94,704892,28.26
Stand by Me,1986,89,8.1,75,356432,52.29
Green Book,2018,130,8.2,69,344081,85.08
